[0:00 - 0:19] undefined:  Bem-vindos e bem-vindas à nossa última aula da disciplina de Fine Tuning e Reg para Documentos.

[0:19 - 0:38] undefined:  Bom, até agora a gente já entendeu o nosso problema, nós conseguimos os dados que a gente precisava tanto para fazer o fine tuning, quanto agora a gente também vai utilizar para o reggae, com algumas diferenças que eu vou mostrar ao longo dessa aula.

[0:39 - 1:01] undefined:  Na segunda aula, a gente teve uma conversa sobre os LLMs, sobre foundation models, sobre como que eles funcionam por trás, um pouco ali, pelo menos da base matemática dos modelos, para a gente conseguir também compreender como que funcionam essas tecnologias.

[1:02 - 1:14] undefined:  Então, no segundo vídeo da segunda aula, a gente realizou o fine tuning, a gente treinou o nosso modelo e pudemos gerar algumas inferências a partir dele.

[1:14 - 1:47] undefined:  Então, muito bem, a gente chega aqui na nossa última aula para falar sobre reggae. Então, o RAG não é apenas uma ferramenta específica, mas sim uma técnica que pode ser utilizada de diversas formas para a gente conseguir que o modelo retorne não apenas o output que a gente espera, mas também de onde ele está buscando qualquer fonte que ele utilizou para dar aquela resposta para a gente.

[1:47 - 2:15] undefined:  Então, como que funciona o RAG? O RAG vai ser basicamente uma técnica para aprimorar ainda mais o nosso modelo, uma vez que se a gente pensa no chat GPT ou em outros modelos, se você pergunta alguma coisa ali, se você sobe o seu prompt, ele vai te dar uma resposta sem necessariamente te dizer de onde ele trouxe essa resposta.

[2:15 - 2:30] undefined:  O RAG vai ser utilizado quando não apenas a resposta do nosso modelo é o que a gente precisa, mas também de onde ele trouxe a fonte.

[2:30 - 2:55] undefined:  Se a gente pensa, por exemplo, em um escritório de advocacia que tem ali uma aplicação, um LLM especializado no mundo jurídico, E o advogado ali, o usuário, ele precisa saber de qual lei é determinado artigo ou qual lei fala sobre determinado tema.

[2:55 - 3:18] undefined:  É muito importante não só que a IA retorne para ele o conteúdo ali ou uma explicação sobre aquele tema, mas também, por exemplo, algum livro que foi usado no treinamento da IA e que é versa sobre aquele tema, ou, por exemplo, a própria lei que regulamenta aquele assunto.

[3:18 - 3:56] undefined:  enfim, as aplicações do REG também são as mais diversas do que a gente puder pensar por exemplo, também em um sistema de e-commerce se o usuário precisa de, por exemplo alguma informação sobre um pedido dele seria interessante por exemplo o modelo retorne talvez a nota fiscal ou um descritivo do pedido para aí Então, o RAG é basicamente isso, uma técnica que pode ser utilizada também, junto com o fine tuning,

[3:57 - 4:10] undefined:  para deixar o modelo mais completo e melhor, gerar respostas melhores, respostas que vão estar mais precisas e ainda vão trazer a fonte ali se for preciso.

[4:10 - 4:23] undefined:  Então, como que funciona o RAG, como que é esse pipeline, essa técnica que a gente utiliza, quando nós precisamos, por exemplo, da fonte de onde ele tirou a resposta.

[4:23 - 4:42] undefined:  Aqui, nesse fluxograma, a gente pode pensar nesses documentos como, por exemplo, as notícias, não é mesmo? A gente vai realizar a divisão desse documento, uma vez que a IA não consegue entender textos muito longos.

[4:42 - 5:08] undefined:  Isso tem a ver com as limitações de processamento do modelo, do hardware ali que está rodando aquele modelo. Então, a gente faz uma divisão do documento para ficar mais fácil para a IA conseguir entender o que a gente precisa, entender a fonte de onde ela está tirando aquilo e conseguir gerar uma resposta melhor.

[5:08 - 5:42] undefined:  Então, a partir dos chunks, a gente faz os embeddings. Os embeddings, só para lembrar, seria a transformação da linguagem natural, dos tokens ali, dos chunks, em números, em matrizes que vão conter números decimais ali, que vão ser utilizados pela IA, vão ser muito melhor entendidos, uma vez que um computador, seja uma GPU ou uma CPU, não conseguem compreender a nossa linguagem.

[5:42 - 6:07] undefined:  Então, seria como se fosse um processo de conversão da nossa linguagem para números, que aí sim o hardware consegue processar, e usando as técnicas utilizadas nos LLMs, para construir os LLMs, conseguir entender e criar o contexto ali e melhorar o seu entendimento e a sua performance.

[6:08 - 6:26] undefined:  Esses embeddings a gente guarda dentro de uma VectorDB. Uma VectorDB nada mais é do que um banco de dados que ao invés de guardar, por exemplo, os nossos documentos ou até mesmo os chunks dos documentos, vão guardar os embeddings de uma forma vetorizada.

